取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),摘要,タグ,メモ
1,2025/01/01,普通預金,楽天銀行,,,対象外,,57,その他の収入,,,,対象外,,57,決算お利息 12月分,受取利息,
2,2025/01/01,組織活動費,,,,対象外,,8200,普通預金,楽天銀行,,,対象外,,8200,スマートEX(JR西日本) 新幹線,交通費,
3,2025/01/03,普通預金,楽天銀行,,,対象外,,8200,その他の収入,,,,対象外,,8200,スマートEX(JR西日本) 払い戻し,交通費返金,
4,2025/01/09,備品・消耗品費,,,,対象外,,10140,普通預金,楽天銀行,,,対象外,,10140,関西地図センター 地図資料購入,資料購入,
5,2025/01/13,普通預金,楽天銀行,,,対象外,,87200,その他の収入,,,,対象外,,87200,給与 JRキュウシュウコンサルタンツ(株,給与収入,
6,2025/01/16,普通預金,楽天銀行,,,対象外,,39680,その他の収入,,,,対象外,,39680,給与 JRキュウシュウコンサルタンツ(株,給与収入,
7,2025/01/20,事務所費,,,,対象外,,44000,普通預金,楽天銀行,,,対象外,,44000,カ)エンチンタイカンリ 管理費,管理費,
8,2025/01/23,普通預金,楽天銀行,,,対象外,,299219,その他の収入,,,,対象外,,299219,給与 JRキュウシュウコンサルタンツ(株,給与収入,
9,2025/01/26,その他の経費,,,,対象外,,50000,普通預金,楽天銀行,,,対象外,,50000,PayPay銀行振込 ATM引き出し,現金引き出し,
10,2025/01/26,その他の経費,,,,対象外,,127000,普通預金,楽天銀行,,,対象外,,127000,ATM出金 Enet,現金引き出し,
11,2025/01/26,その他の経費,,,,対象外,,34000,普通預金,楽天銀行,,,対象外,,34000,ATM出金 Enet,現金引き出し,
12,2025/01/26,その他の経費,,,,対象外,,20000,普通預金,楽天銀行,,,対象外,,20000,PayPay銀行振込,現金引き出し,
13,2025/01/27,その他の経費,,,,対象外,,919322,普通預金,楽天銀行,,,対象外,,919322,ラクテンカードサービス カード引き落とし,カード支払い,
14,2025/01/27,その他の経費,,,,対象外,,18222,普通預金,楽天銀行,,,対象外,,18222,DF.ペイデイ 後払い決済,後払い決済,
15,2025/01/27,事務所費,,,,対象外,,109529,普通預金,楽天銀行,,,対象外,,109529,ジャックス 家賃,家賃,
16,2025/01/28,その他の経費,,,,対象外,,45000,普通預金,楽天銀行,,,対象外,,45000,ATM出金 ゆうちょ銀行,現金引き出し,
17,2025/01/28,その他の経費,,,,対象外,,275,普通預金,楽天銀行,,,対象外,,275,ATMカード手数料,手数料,
18,2025/01/30,その他の経費,,,,対象外,,275000,普通預金,楽天銀行,,,対象外,,275000,ユ)チアーズ 婚活成婚退会費用,その他支出,
19,2025/01/30,その他の経費,,,,対象外,,145,普通預金,楽天銀行,,,対象外,,145,振込手数料,手数料,
20,2025/02/16,普通預金,楽天銀行,,,対象外,,69800,その他の収入,,,,対象外,,69800,給与 JRキュウシュウコンサルタンツ(株,給与収入,
21,2025/02/25,普通預金,楽天銀行,,,対象外,,263269,その他の収入,,,,対象外,,263269,給与 JRキュウシュウコンサルタンツ(株,給与収入,
22,2025/02/26,その他の経費,,,,対象外,,50000,普通預金,楽天銀行,,,対象外,,50000,PayPay銀行振込 ATM引き出し,現金引き出し,
23,2025/02/26,その他の経費,,,,対象外,,40000,普通預金,楽天銀行,,,対象外,,40000,PayPay銀行振込 ATM引き出し,現金引き出し,
24,2025/02/27,その他の経費,,,,対象外,,818454,普通預金,楽天銀行,,,対象外,,818454,ラクテンカードサービス カード引き落とし,カード支払い,
25,2025/02/27,その他の経費,,,,対象外,,18222,普通預金,楽天銀行,,,対象外,,18222,DF.ペイデイ 後払い決済,後払い決済,
26,2025/02/27,普通預金,楽天銀行,,,対象外,,90821,その他の収入,,,,対象外,,90821,カ)エンチンタイカンリ 管理費返金,管理費返金,
